Ro	tau	E	lat	lon
0.070605943	0	0.0	38.85796542	22.51823917
0.005621079	0	0.0	38.8586475	22.52023792
0.030240252	0	0.0	38.86038625	22.52090208
0.325670439	0	0.0	38.85893292	22.52187875
0.070050193	0	0.0	38.85849833	22.52211208
0.01479495	0	0.0	38.85908167	22.511745
1.574733003	0.6283129	926.8	38.86009708	22.51099667
0.255911791	0	0.0	38.85971375	22.51239458
0.838800693	0	0.0	38.860975	22.512745
0.08344898	0	0.0	38.85908167	22.511745
1.560265976	0.6200642	914.6	38.86088833	22.51338958
0.056782384	0	0.0	38.86105875	22.51421625
0.063865956	0	0.0	38.85937083	22.51442833
0.026088402	0	0.0	38.86108792	22.51579167
0.020735313	0	0.0	38.85937083	22.51442833
0.19034386	0	0.0	38.8614025	22.51759833
0.015924395	0	0.0	38.859745	22.51672083
0.476055067	0	0.0	38.8597725	22.5171325
0.009090351	0	0.0	38.86153333	22.51937708
0.007805757	0	0.0	38.85981833	22.51751
0.029758036	0	0.0	38.86229542	22.51947292
0.034141457	0	0.0	38.8617075	22.52096917
0.184505008	0	0.0	38.86174708	22.52143542
0.249007164	0	0.0	38.86214833	22.52207833
0.041191509	0	0.0	38.86208042	22.5232775
0.114519853	0	0.0	38.86332667	22.52147833
0.098155102	0	0.0	38.86349875	22.52255167
0.046455627	0	0.0	38.86329631	22.52162747
0.065033173	0	0.0	38.8636736	22.52415485
0.204199892	0	0.0	38.81853708	22.51622125
0.029252882	0	0.0	38.81845833	22.5167925
0.106032624	0	0.0	38.81889958	22.51772833
0.012146486	0	0.0	38.82675667	22.504505
0.063447411	0	0.0	38.82694167	22.50544667
0.175742935	0	0.0	38.83645125	22.51512417
0.011496093	0	0.0	38.83645875	22.51603625
0.020334058	0	0.0	38.83674083	22.51658167
0.290002841	0	0.0	38.83686542	22.517905
0.085034681	0	0.0	38.8374525	22.52251083
0.074338454	0	0.0	38.83772208	22.52364833
0.026658652	0	0.0	38.8378175	22.52444792
0.032734	0	0.0	38.8271725	22.50721917
1.120530237	0.2098152	309.5	38.83795417	22.52534708
0.839134707	0	0.0	38.83811542	22.52631792
0.004930427	0	0.0	38.82749	22.50945
0.031537581	0	0.0	38.83524833	22.517815
